"DateTime","Tasa de Certificado de Depósito a Término (CDT) a 90 días - Monto, diaria"
"2019/09/10",154920.7
"2019/09/11",175180.49
"2019/09/12",184834.13
"2019/09/13",215308.4
"2019/09/16",218004.19
"2019/09/17",131588.25
"2019/09/18",140556.46
"2019/09/19",122351.45
"2019/09/20",184359.16
"2019/09/23",222736.71
"2019/09/24",143868.97
"2019/09/25",165076.59
"2019/09/26",285386.68
"2019/09/27",165814.73
"2019/09/30",225310.04
"2019/10/01",72954.25
"2019/10/02",120698.9
"2019/10/03",220329.22
"2019/10/04",113675.81
"2019/10/07",285702.29
"2019/10/08",192420.67
"2019/10/09",125235.57
"2019/10/10",126904.5
"2019/10/11",115435.91
"2019/10/15",328974.97
"2019/10/16",133930.59
"2019/10/17",178028.76
"2019/10/18",93565.84
"2019/10/21",238175.06
"2019/10/22",193837.42
"2019/10/23",226622.65
"2019/10/24",211629.87
"2019/10/25",99650.6
"2019/10/28",171914.2
"2019/10/29",141778.89
"2019/10/30",181243.78
"2019/10/31",92258.89
"2019/11/01",78183.43
"2019/11/05",224577.64
"2019/11/06",182372.37
"2019/11/07",121124.52
"2019/11/08",160425.02
"2019/11/12",254048.16
"2019/11/13",203507.53
"2019/11/14",183293.98
"2019/11/15",96210.45
"2019/11/18",183713.58
"2019/11/19",80165.54
"2019/11/20",291732.91
"2019/11/21",106559.93
"2019/11/22",112761.51
"2019/11/25",193016.19
"2019/11/26",131516.61
"2019/11/27",182100.1
"2019/11/28",213053.37
"2019/11/29",118386.12
"2019/12/02",253972.72
"2019/12/03",123000.5
"2019/12/04",527403.53
"2019/12/05",249435.77
"2019/12/06",177886.78
"2019/12/09",249032.14
"2019/12/10",144866.99
"2019/12/11",161301.5
"2019/12/12",232105.49
"2019/12/13",247062.88
"2019/12/16",220271.65
"2019/12/17",117236.82
"2019/12/18",149715.5
"2019/12/19",155247.93
"2019/12/20",208897.14
"2019/12/23",199397.59
"2019/12/24",90628.17
"2019/12/26",276304.38
"2019/12/27",225272.23
"2019/12/30",276262.15
"2019/12/31",11191.28
"2020/01/02",205887.18
"2020/01/03",190898.86
"2020/01/07",280146.48
"2020/01/08",273679.66
"2020/01/09",127079.7
"2020/01/10",129965.76
"2020/01/13",213736.7
"2020/01/14",95339.02
"2020/01/15",176260.29
"2020/01/16",128754.67
"2020/01/17",189983.83
"2020/01/20",227980.64
"2020/01/21",188264.52
"2020/01/22",207411.64
"2020/01/23",215964.79
"2020/01/24",227460.01
"2020/01/27",236537.81
"2020/01/28",127385.66
"2020/01/29",166335.46
"2020/01/30",157774.28
"2020/01/31",100000.96
"2020/02/03",141647.34
"2020/02/04",112314.44
"2020/02/05",130163.11
"2020/02/06",198191.98
"2020/02/07",104583.51
"2020/02/10",230717.6
"2020/02/11",131193.42
"2020/02/12",140599.57
"2020/02/13",174991.08
"2020/02/14",136746.13
"2020/02/17",167943.42
"2020/02/18",102978.29
"2020/02/19",99746.4
"2020/02/20",336064.46
"2020/02/21",132912.13
"2020/02/24",165656.65
"2020/02/25",124824.23
"2020/02/26",138889.51
"2020/02/27",155875.65
"2020/02/28",225164.79
"2020/03/02",304437.11
"2020/03/03",317075.25
"2020/03/04",212201.19
"2020/03/05",187573.98
"2020/03/06",208794.65
"2020/03/09",236693.02
"2020/03/10",138022.63
"2020/03/11",189347.73
"2020/03/12",396805.46
"2020/03/13",328710.59
"2020/03/16",427602.79
"2020/03/17",304977.03
"2020/03/18",355953.63
"2020/03/19",354737.72
"2020/03/20",187185.64
"2020/03/24",362711.5
"2020/03/25",155365.08
"2020/03/26",237535.13
"2020/03/27",148196.75
"2020/03/30",244039.84
"2020/03/31",98994.44
"2020/04/01",195588.76
"2020/04/02",167920.62
"2020/04/03",153191.59
"2020/04/06",209369.54
"2020/04/07",163560.33
"2020/04/08",294196.75
"2020/04/13",393527.18
"2020/04/14",165807.66
"2020/04/15",230392.9
"2020/04/16",200294.14
"2020/04/17",217395.77
"2020/04/20",203009.81
"2020/04/21",195299.2
"2020/04/22",326576.72
"2020/04/23",250389.95
