"fecha","ipc","inflacion","cdt90","n_obs"
2015-05-01,85.12,4.40328713357048,4.34684210526316,19
2015-06-01,85.21,4.41122411469181,4.37894736842105,19
2015-07-01,85.37,4.45368897589624,4.46045454545455,22
2015-08-01,85.78,4.73748473748472,4.42368421052632,19
2015-09-01,86.39,5.34081209608583,4.39545454545455,22
2015-10-01,86.98,5.89237886535183,4.59571428571429,21
2015-11-01,87.51,6.39513677811552,4.90157894736842,19
2015-12-01,88.05,6.76609676245907,5.16095238095238,21
2016-01-01,89.19,7.4578313253012,5.61473684210526,19
2016-02-01,90.33,7.58694616484041,6.18238095238095,21
2016-03-01,91.18,7.9692125518058,6.314,20
2016-04-01,91.63,7.92697290930504,6.53,21
2016-05-01,92.1,8.20018796992481,6.723,20
2016-06-01,92.54,8.60227672808358,6.86761904761905,21
2016-07-01,93.02,8.96099332318143,7.09473684210526,19
2016-08-01,92.73,8.10212170669153,7.16227272727273,22
2016-09-01,92.68,7.28093529343674,7.145,22
2016-10-01,92.62,6.48424925270177,7.014,20
2016-11-01,92.73,5.96503256770655,6.969,20
2016-12-01,93.11,5.74673480976717,6.85,21
2017-01-01,94.07,5.4714654109205,6.89952380952381,21
2017-02-01,95.01,5.18100298904018,6.773,20
2017-03-01,95.46,4.69401184470277,6.59818181818182,22
2017-04-01,95.91,4.67095929280803,6.46777777777778,18
2017-05-01,96.12,4.36482084690555,6.04809523809524,21
2017-06-01,96.23,3.98746488005186,5.939,20
2017-07-01,96.18,3.39711889916148,5.59578947368421,19
2017-08-01,96.32,3.87145476113446,5.54095238095238,21
2017-09-01,96.36,3.97065170479067,5.49857142857143,21
2017-10-01,96.37,4.04880155473979,5.40761904761905,21
2017-11-01,96.55,4.11948668176425,5.3225,20
2017-12-01,96.92,4.09193427129202,5.25894736842105,19
2018-01-01,97.53,3.67811204422239,5.17190476190476,21
2018-02-01,98.22,3.3785917271866,5.0425,20
2018-03-01,98.45,3.13220196941129,4.97736842105263,19
2018-04-01,98.91,3.12793243665936,4.88761904761905,21
2018-05-01,99.16,3.16271327507283,4.69095238095238,21
2018-06-01,99.31,3.20066507326198,4.59368421052632,19
2018-07-01,99.18,3.11915159076732,4.5535,20
2018-08-01,99.3,3.09385382059801,4.5147619047619,21
2018-09-01,99.47,3.2274802822748,4.5125,20
2018-10-01,99.59,3.34128878281623,4.41863636363636,22
2018-11-01,99.7,3.26255825996893,4.396,20
2018-12-01,100,3.17787866281469,4.5095,20
2019-01-01,100.6,3.14774941043781,4.55714285714286,21
2019-02-01,101.18,3.01364284259826,4.545,20
